Parent,Gene,Rep,Sp1,Sp2,Sp3,Sp4,Stem
Founder,1,0,0.0073052937,0.0108624566,0.0106876215,0.0084970932,0.0214958746
Founder,1,1,0.0101165006,0.0039907354,0.0101148898,0.008052357,0.0194219972
Founder,1,2,0.0080597163,0.0090868102,0.0090726742,0.0111315362,0.0225597659
Founder,1,3,0.0159830577,0.0096482305,0.011126347,0.0080583806,0.0139533395
Founder,1,4,0.0093743454,0.0070929933,0.0111233234,0.0111237308,0.0201177366
Founder,1,5,0.0060366036,0.0060364856,0.0138571876,0.0117384206,0.0170653214
Founder,1,6,0.0111239748,0.0111235686,0.0044463067,0.0077508242,0.0203251502
Founder,1,7,0.0142184345,0.0141903725,0.0070310458,0.0080860387,0.0215428759
Founder,1,8,0.0090839619,0.0080632573,0.0070377313,0.0131730357,0.0132253073
Founder,1,9,0.0080478934,0.0142047756,0.0170686183,0.0064473351,0.0161151411
Founder,2,0,0.007063254,0.0039992858,0.0070500883,0.0070498948,0.0204211035
Founder,2,1,0.0100762785,0.0142218467,0.0148750584,0.0116617863,0.0287337229
Founder,2,2,0.0111137247,0.0121589162,0.0039896058,0.009101959,0.0236009971
Founder,2,3,0.0090828184,0.0090825332,0.0111151883,0.0142070234,0.0194536697
Founder,2,4,0.0111340707,0.0090712414,0.0160127897,0.0074377419,0.0255559336
Founder,2,5,0.0131735088,0.0131735177,0.0039831583,0.0111388409,0.0173682332
Founder,2,6,0.0076016726,0.0086847805,0.0086305579,0.0097068179,0.0221937794
Founder,2,7,0.0131874765,0.0090625007,0.0101210757,0.0060119374,0.0236115015
Founder,2,8,0.007640371,0.0076408543,0.0090655963,0.0142098614,0.0192604056
Founder,2,9,0.0070671677,0.0039952472,0.0068658203,0.0146968057,0.0242704305
Founder,3,0,0.0080415168,0.0142116741,0.0150133219,0.0053771647,0.0192784321
Founder,3,1,0.0116979114,0.0138331357,0.0149657318,0.0074622861,0.0242970992
Founder,3,2,0.0060212858,0.0101118562,0.0080684798,0.0070464292,0.0173409
Founder,3,3,0.0152481368,0.0131598596,0.0111302161,0.0141962375,0.018443426
Founder,3,4,0.0050205533,0.0060406554,0.0111309728,0.0080544961,0.0183689117
Founder,3,5,0.0134237329,0.0166631054,0.0080621885,0.0090846607,0.015661791
Founder,3,6,0.0039607987,0.017293684,0.0049980363,0.012156871,0.0163444863
Founder,3,7,0.0060261489,0.0080736344,0.0100980789,0.0111269011,0.0204647224
Founder,3,8,0.0090778383,0.0101054697,0.00295817,0.0111525071,0.0215031883
Founder,3,9,0.0049783824,0.0162678786,0.01216536,0.0019512586,0.0173700138
Founder,4,0,0.0080624571,0.0090849631,0.0111165814,0.0152330263,0.0163340451
Founder,4,1,0.0152522813,0.0070065949,0.0070337301,0.0101149491,0.022574208
Founder,4,2,0.0045100347,0.0056343532,0.0022148513,0.0089225092,0.0243718101
Founder,4,3,0.0121449361,0.0039964254,0.0183111833,0.0090760181,0.0111744064
Founder,4,4,0.0107247077,0.0128201754,0.0100852774,0.0131907546,0.0160685755
Founder,4,5,0.0090869806,0.0080605774,0.0117446585,0.0117448423,0.021297126
Founder,4,6,0.0152763449,0.0069833738,0.0075181748,0.0107752204,0.0308462743
Founder,4,7,0.0128075939,0.0106327727,0.008032381,0.0142252691,0.0297900659
Founder,4,8,0.0064070738,0.0139506444,0.0064993668,0.0097627796,0.0264453864
Founder,4,9,0.0127896562,0.0148916237,0.011127278,0.0060258885,0.0160236378
Founder,5,0,0.0138514059,0.0106454084,0.013185563,0.0100874543,0.0244897924
Founder,5,1,0.0131757689,0.0121451112,0.0059755572,0.0193744899,0.0194902528
Founder,5,2,0.0101147536,0.0070339503,0.0127895726,0.0117235209,0.0223466469
Founder,5,3,0.0121480361,0.0121475076,0.0050200361,0.0060418324,0.0215008081
Founder,5,4,0.0111346007,0.0080511617,0.0142096702,0.0111138012,0.021545424
Founder,5,5,0.0128082819,0.0117348851,0.0150092664,0.0053858993,0.0190236302
Founder,5,6,0.0106817022,0.013867128,0.0100994661,0.011125949,0.0181559137
Founder,5,7,0.0080765677,0.0050104214,0.0173024187,0.0121350012,0.0194430894
Founder,5,8,0.0121664423,0.00600427,0.0100863256,0.0142116293,0.0215402852
Founder,5,9,0.014574398,0.0128037222,0.0078778516,0.0156120411,0.0203001295
Founder,6,0,0.0100983551,0.0111277011,0.0049950908,0.0101231878,0.0225560511
Founder,6,1,0.0090676642,0.0131830573,0.0107382426,0.0096687258,0.0202811341
Founder,6,2,0.0142116158,0.0080415148,0.004995494,0.0111401243,0.0194430589
Founder,6,3,0.0111243146,0.0111237987,0.0075705134,0.0097329125,0.0234465823
Founder,6,4,0.0065342298,0.0108218428,0.0107570989,0.0096928603,0.0158524817
Founder,6,5,0.0183362447,0.0121359716,0.0095874817,0.015962928,0.0213551906
Founder,6,6,0.0090821524,0.0070506483,0.0076154063,0.0097455575,0.0160943774
Founder,6,7,0.0067108684,0.0167559137,0.0103924989,0.0110289862,0.0221898873
Founder,6,8,0.0060349885,0.0080667629,0.0060275995,0.0101068647,0.016306659
Founder,6,9,0.0117110668,0.0148948695,0.0131757185,0.0121448707,0.0192081446
Founder,7,0,0.0070394612,0.0101094134,0.0080654598,0.0080652615,0.0173469001
Founder,7,1,0.0149917028,0.0075095526,0.0111500774,0.0100826793,0.0161023197
Founder,7,2,0.0042195504,0.0160066324,0.0144514886,0.01189713,0.0153086586
Founder,7,3,0.0044789565,0.0088094376,0.0080593571,0.012146674,0.0119819308
Founder,7,4,0.0111312563,0.0080544113,0.0142109395,0.0070230583,0.0184102672
Founder,7,5,0.0060173229,0.0101159716,0.0085482999,0.0149431309,0.0202593919
Founder,7,6,0.0121531374,0.0080536645,0.0090700088,0.0142048587,0.0163393776
Founder,7,7,0.009072933,0.0131774099,0.0090899186,0.0060262084,0.0163226659
Founder,7,8,0.0080870191,0.002979055,0.016267273,0.0141971964,0.0204762067
